dist,n,trial,time_ms,comparisons,swaps,accesses
nearly,100000,3,2120,4999950000,99992,10000299968
random,100,1,0,4950,95,10280
random,100,2,0,4950,97,10288
random,100,3,0,4950,95,10280
random,1000,1,3,499500,992,1002968
random,1000,2,1,499500,993,1002972
random,1000,3,0,499500,991,1002964
random,10000,1,40,49995000,9989,100029956
random,10000,2,36,49995000,9989,100029956
random,10000,3,22,49995000,9987,100029948
random,100000,1,3574,4999950000,99986,10000299944
random,100000,2,3584,4999950000,99990,10000299960
random,100000,3,2120,4999950000,99989,10000299956
sorted,100,1,0,4950,94,10276
sorted,100,2,0,4950,95,10280
sorted,100,3,0,4950,94,10276
sorted,1000,1,3,499500,988,1002952
sorted,1000,2,1,499500,993,1002972
sorted,1000,3,0,499500,990,1002960
sorted,10000,1,39,49995000,9991,100029964
sorted,10000,2,36,49995000,9991,100029964
sorted,10000,3,27,49995000,9985,100029940
sorted,100000,1,3578,4999950000,99990,10000299960
sorted,100000,2,3562,4999950000,99987,10000299948
sorted,100000,3,2115,4999950000,99989,10000299956
reverse,100,1,0,4950,94,10276
reverse,100,2,0,4950,94,10276
reverse,100,3,0,4950,95,10280
reverse,1000,1,4,499500,992,1002968
reverse,1000,2,1,499500,991,1002964
reverse,1000,3,0,499500,986,1002944
reverse,10000,1,39,49995000,9988,100029952
reverse,10000,2,36,49995000,9990,100029960
reverse,10000,3,31,49995000,9989,100029956
reverse,100000,1,3561,4999950000,99984,10000299936
reverse,100000,2,3605,4999950000,99982,10000299928
reverse,100000,3,2119,4999950000,99987,10000299948
nearly,100,1,0,4950,92,10268
nearly,100,2,0,4950,96,10284
nearly,100,3,0,4950,96,10284
nearly,1000,1,3,499500,992,1002968
nearly,1000,2,1,499500,990,1002960
nearly,1000,3,0,499500,993,1002972
nearly,10000,1,39,49995000,9994,100029976
nearly,10000,2,35,49995000,9989,100029956
nearly,10000,3,31,49995000,9992,100029968
nearly,100000,1,3560,4999950000,99985,10000299940
nearly,100000,2,3562,4999950000,99990,10000299960
nearly,100000,3,2113,4999950000,99990,10000299960
random,100,1,0,4950,96,10284
random,100,2,0,4950,97,10288
random,100,3,0,4950,95,10280
random,1000,1,3,499500,991,1002964
random,1000,2,0,499500,991,1002964
random,1000,3,0,499500,996,1002984
random,10000,1,40,49995000,9986,100029944
random,10000,2,36,49995000,9989,100029956
random,10000,3,30,49995000,9991,100029964
random,100000,1,3609,4999950000,99985,10000299940
random,100000,2,3576,4999950000,99985,10000299940
random,100000,3,2117,4999950000,99989,10000299956
sorted,100,1,0,4950,93,10272
sorted,100,2,0,4950,98,10292
sorted,100,3,0,4950,94,10276
sorted,1000,1,4,499500,994,1002976
sorted,1000,2,1,499500,989,1002956
sorted,1000,3,0,499500,994,1002976
sorted,10000,1,39,49995000,9990,100029960
sorted,10000,2,36,49995000,9987,100029948
sorted,10000,3,30,49995000,9991,100029964
sorted,100000,1,3569,4999950000,99986,10000299944
